,Chicago,Evanston,Naperville,Cook County
49,FOIA/FOIA-Request-Log-Buildings/ucsz-xe6,Information-Technology-includes-maps-geospatial-da/Traffic-signal-intersections/4br4-xtaj, rms.dbo.%vw MappingDailyBulletin\'a0,et/Medical-Examiner-Unclaimed-Persons/jmub-3h99
50,Service-Requests/311-Service-Requests-Abandoned-Vehicles/3c9v-pnv,Information-Technology-includes-maps-geospatial-da/Police-patrol-beats/ic59-8u5j, Mental Health\'a0,Finance-Administration/Budget-Archive/q379-w3q5
51,Environment-Sustainable-Development/CDPH-Environmental-Records-Lookup-Table/a9u4-3dwb,Information-Technology-includes-maps-geospatial-da/Parking-lots/3rqk-bm7q, Non-Criminal Offenses\'a0,Finance-Administration/Procurement-Bid-Tabulations-Archive/pn38-yupm
52,Buildings/Elevation-Benchmarks/zgvr-7,Information-Technology-includes-maps-geospatial-da/The-City-of-Evanston/q5yz-mwk, Arson\'a0,Finance-Administration/Procurement-Intent-to-Execute-Archive/gh3w-vkp5
53,Service-Requests/311-Service-Requests-Garbage-Carts/9ksk-na4q,Public-Works/2008-14-Sewer-Structure-Cleaned/jhju-x, Burglary from a Mobile Vehicle\'a0,Finance-Administration/Procurement-Intent-to-Award-Archive/52k2-p47e
54,Health-Human-Services/Public-Health-Statistics-Selected-public-health-in/iqnk-2tcu,2010-2014-Transportation-Mode-Split/i4qr-, Burglary\'a0,Property-Taxation/Zoning-Board-of-Appeals-Public-Hearings/gsgc-7puf
55,Service-Requests/Abandoned-Vehicles-Map/hxh5-e8e,Parking/Total-Income-Parking-Meter-Data-April-Report-2017/2r7y-kc3, Robbery\'a0,Finance-Administration/Board-of-Commissioners-Contingency-Accounts/cyqf-xdb
56,Transportation/Average-Daily-Traffic-Counts/pfsx-4n4m,2010-2014-Evanston-Percentage-of-Living-Wage-House/456c-5n2, Assault/Battery\'a0,Finance-Administration/Comptroller-Comprehensive-Annual-Financial-Report-/hi6n-5ezj
57,Facilities-Geographic-Boundaries/Boundaries-Neighborhoods/9wp7-iasj,Parks-Recreation-Community-Services/Class-Data-2017/ir2y-epyj, Sex Offenses\'a0,Healthcare/Medical-Examiner-Unidentified-Persons/y8dh-5w5
58,Administration-Finance/Debarred-Firms-and-Individuals/y93d-d9e3,Fire/2012-2015-Fire-Department-Non-Emergency-AverageRes/4sy5-77aj, Homicide\'a0,Finance-Administration/Human-Resources-Compliance-Officer-s-Quarterly-Emp/haj6-m47
59,Community-Economic-Development/Business-Owners/ezma-pppn,Information-Technology-includes-maps-geospatial-da/Special-Service-Areas-SSAs-/mpqv-zam, Police Beats\'a0,et/Human-Rights-Decisions/b5sv-ucke
60,Ethics/Lobbyist-Data-Lobbyist-Registry-2012-to-present-De/ypez-j3,Health-Human-Services/Overcoming-Challenges-To-Aging/73uy-6gj7, Police Beats for City of Naperville.,Finance-Administration/Board-of-Ethics-Advisory-Opinions/vs34-ecz
61,Facilities-Geographic-Boundaries/Boundaries-Census-Tracts-2010/5jrd-6zik,Information-Technology-includes-maps-geospatial-da/Cul-de-sacs/pnup-avt9, Railroads\'a0,Finance-Administration/Board-of-Ethics-Notices-of-Determination/th3p-us5
62,Service-Requests/311-Service-Requests-Tree-Debris/mab8-y9h3,Information-Technology-includes-maps-geospatial-da/Wards/mbp2-f34, Railroads within Naperville City Limits,et/Auditor-Quarterly-Open-Findings-Recommendations-St/9yjy-tqfj
63,Service-Requests/311-Service-Requests-Street-Lights-One-Out/3aav-uy2v,Information-Technology-includes-maps-geospatial-da/Federal-historic-districts/7wdp-qeru, Sidewalks\'a0,Finance-Administration/Auditor-Reports/4u8a-te7
64,Service-Requests/311-Service-Requests-Rodent-Baiting/97t6-z,Parking/Total-Income-Parking-Meter-Data-February-Report-20/2v7y-z87, Naperville Sidewalk Data,Finance-Administration/Procurement-Intent-to-Award/bgq7-v7m
65,Public-Safety/Crimes-2014/qnmj-8ku6,Parking/Total-Income-Parking-Meter-Data-November-2016/udkd-3qq, Stormwater Structures\'a0,Finance-Administration/Procurement-Intent-to-Execute/ag43-fvd7
66,Community-Economic-Development/Public-Passenger-Vehicle-Licenses/tfm3-3j95,Parking/Total-Income-Parking-Meter-Data-March-2016-Report/evaa-66, City of Naperville Stormwater Structures,Finance-Administration/Investor-Relations-Bond-Official-Statements/d46c-nxy5
67,Education/Libraries-Locations-Hours-and-Contact-Information-/wa2i-tm5,Parking/Total-Income-Parking-Meter-Data-July-Report-2017/54js-meg8, Stormwater Culvert\'a0,Finance-Administration/Human-Resources-Compliance-Officer-s-Semi-Annual-R/bsk3-nwf8
68,Health-Human-Services/Workforce-Centers/cs4s-nsn,EMS-and-Fire-Responses-by-Census-Tract-2013-2015-/vjss-u86b, City of Naperville Stormwater Culverts,Finance-Administration/Inspector-General-Proposed-Legislation/jtuj-fee
69,Health-Human-Services/Food-Inspections-Map/cnfp-tsx,Information-Technology-includes-maps-geospatial-da/CDBG-Target-Area/n5c8-air7, Stormwater Pipes\'a0,Finance-Administration/Inspector-General-Quarterly-Reports/fujx-q5f
70,Administration-Finance/Employee-Overtime-and-Supplemental-Earnings-2012/92xk-4rg9,Information-Technology-includes-maps-geospatial-da/Zoning-Overlay-Districts/kpz3-akj, City of Naperville Stormwater Pipes,Finance-Administration/Inspector-General-Public-Statements/mzyj-5e
71,Buildings/Building-Permits-Dashboard/2s3k-mec8,Information-Technology-includes-maps-geospatial-da/Street-centerlines/f3z5-j3m, Stormwater Special Features\'a0,GIS-Maps/ccgisdata-Address-Points-for-Area-33-2016-/7fn9-ax
